开课院系,课程号,课序号,课程名,学分,主讲教师,本科生课容量,本科生课余量,研究生课容量,上课时间,掉课率
新雅书院,34700023,0,比较政治,3,张扬,30,0,0,"5-4(全周),5-3(全周)",39.81039984420981
新雅书院,34700033,0,西方哲学(2),3,黄裕生,30,4,0,2-2(全周),13.968451648514685
日新书院,34720013,0,第一哲学的沉思,3,JIANG YU…,70,33,0,"1-4(全周),1-3(全周)",17.09717469857874
日新书院,34720033,0,《礼记》研读,3,陈壁生,70,14,10,2-6(全周),19.210614776925006
日新书院,34720111,0,考古、艺术与文明史系列讲座,1,严志斌,60,8,0,1-3(单周),17.725341594978424
未央书院,34730033,0,流体力学（环境工程方向）,3,袁兢,60,24,0,"1-4(全周),1-3(全周)",17.01890510412867
未央书院,34730062,0,软件工程探索与实践（2）,2,徐枫,20,10,0,2-4(全周),16.21955362794467
未央书院,34730092,0,工程热力学,2,王宝龙,30,14,0,2-3(全周),15.74741618073943
未央书院,34730103,1,机器人与智能制造探索（2）,3,王健健,5,0,0,"1-4(前八周),1-3(前八…",39.31390479399322
未央书院,34730103,2,机器人与智能制造探索（2）,3,王国磊,5,0,0,"1-4(全周),1-3(全周)",36.87417718822289
未央书院,34730112,1,材料物理性能,2,唐子龙,40,0,0,2-2(全周),30.43333288277178
未央书院,34730112,2,材料物理性能,2,孙竞博,40,5,0,2-2(全周),16.298422735327026
未央书院,34730124,0,信号、系统与控制,4,刘锋,60,23,0,"3-2(全周),1-4(全周)",19.239330446134247
未央书院,34730132,0,增材制造之材,2,刘蓉翾,40,0,0,(全周),36.43468992384947
求真书院,34760023,1,拓扑学,3,郑浩,45,29,0,5-2(全周),13.392040686656475
求真书院,34760023,2,拓扑学,3,高鸿灏,45,1,0,5-2(全周),11.407392343192095
求真书院,34760023,3,拓扑学,3,HELLER…,45,20,0,5-2(全周),13.548087670086986
求真书院,34760034,1,微分几何(1),4,朱知非,45,13,0,"4-2(全周),1-2(全周)",18.213899167359468
求真书院,34760044,0,泛函分析,4,兰洋,45,17,0,"3-1(全周),1-4(全周)",13.02271461478398
求真书院,34760054,0,复分析,4,肖建,50,11,0,"3-4(全周),1-1(全周)",14.810313264132958
求真书院,34760064,1,代数-2,4,范祐维,45,3,0,"5-3(全周),2-1(全周)",14.535021409037595
求真书院,34760064,2,代数-2,4,余成龙,45,3,0,"5-3(全周),2-1(全周)",14.41060262321363
求真书院,34760075,1,分析-2,5,李力,45,0,0,"3-3(全周),1-2(全周)",33.70313078506196
求真书院,34760075,2,分析-2,5,MCRAE RO…,45,0,0,"3-3(全周),1-2(全周)",44.426033872575346
求真书院,34760083,1,物理-2,3,HUNG LING…,45,7,0,4-2(全周),10.746635172415946
求真书院,34760083,2,物理-2,3,YAGI JUNYA,45,0,0,4-2(全周),49.748113523524594
求真书院,34760083,3,物理-2,3,宋伟,45,8,0,4-2(全周),14.711662906298635
求真书院,34760144,0,表示论,4,苏长剑,40,17,0,"3-1(全周),1-4(全周)",11.328456368026732
求真书院,34760164,0,统计方法,4,邬荣领,40,33,0,"2-3(全周),4-2(全周)",18.215415449907898
求真书院,34760185,0,分析-2(H),5,归斌,40,7,0,"3-3(全周),1-2(全周)",13.261519757787852
求真书院,34760194,1,电动力学,4,CECOTTI S…,45,15,15,"5-3(全周),2-3(全周)",10.397748560397043
求真书院,34760194,2,电动力学,4,刘子文,45,0,15,"5-3(全周),2-3(全周)",43.85558635982534
求真书院,34760204,1,统计力学,4,YAVARTANOO…,45,30,15,"5-4(全周),2-4(全周)",12.896287311043146
求真书院,34760204,2,统计力学,4,KIMYEONG LEE,45,27,15,"5-4(全周),2-3(全周)",13.903153820641025
求真书院,34760204,3,统计力学,4,TAKASHI TAK…,45,2,15,"5-4(全周),2-4(全周)",15.827110741684818
求真书院,34760213,0,解析数论,3,胡悦科,40,29,0,1-2(全周),19.74544348538243
求真书院,34760234,1,科学计算,4,王珺,45,30,0,"2-4(全周),5-1(全周)",19.221018309710686
求真书院,34760234,2,科学计算,4,朱毅,45,27,0,"2-4(全周),5-1(全周)",11.960103526680058
求真书院,34760263,0,数值分析(2),3,史作强,40,7,0,2-2(全周),16.479308577400303
求真书院,34760273,0,组合与图论,3,马杰,40,32,0,3-2(全周),15.600310456557144
求真书院,34760285,0,分析-2（AI）,5,傅二娟,20,3,0,"3-3(全周),1-2(全周)",15.901259249132405
求真书院,34760294,0,代数-2（AI）,4,梁鑫,20,3,0,"5-3(全周),2-1(全周)",15.56606545125596
求真书院,34760303,0,数理逻辑,3,冯琦,40,30,0,5-2(全周),19.984174258152635
为先书院,34770012,0,材料化学,2,尹斓,50,12,0,5-1(全周),15.51150716208634
秀钟书院,34780022,0,普通微生物学,2,陆韻,40,4,0,5-1(全周),19.8034493223028
秀钟书院,34780032,0,环境分析与评价,2,黄俊,40,8,0,3-4(全周),15.99383019631551
秀钟书院,34780042,0,工程科学基础实验,2,黄俊,45,5,0,"5-4(4-15周),5-3(4-15周)",10.827079565178302
秀钟书院,34780053,0,环境过程原理,3,胡洪营,40,11,0,5-2(全周),19.73535990525557
基础医学院,35010012,0,社会医学,2,姜楠,30,15,0,(前八周),11.707300144003979
建筑学院,40000093,1,城乡规划设计(3),3,王英,7,0,0,"2-4(1-6周),5-2(1-6周),2…",33.50195763418337
建筑学院,40000093,2,城乡规划设计(3),3,周政旭,7,0,0,"2-4(1-6周),5-2(1-6周),2…",42.95010912451179
建筑学院,40000103,1,城乡规划设计(4),3,刘佳燕,8,0,0,"2-4(9-14周),5-2(9-14周…",35.84481880319608
建筑学院,40000103,2,城乡规划设计(4),3,田莉,7,0,0,"2-4(9-14周),2-3(9-14周…",35.36003534351347
建筑学院,40000123,0,城乡规划设计（1）,3,张悦,10,5,0,"2-4(1-6周),5-2(1-6周),2…",18.495563703293413
建筑学院,40000133,0,城乡规划设计（2）,3,张悦,10,5,0,"2-4(9-14周),2-3(9-14周…",17.90114485442438
建筑学院,40000431,0,风景园林遗产保护,1,赵智聪,30,26,0,2-2(后八周),17.6410811196069
建筑学院,40000474,0,风景园林设计(5),4,朱育帆,15,12,0,"1-4(前八周),4-2(前八周…",18.791615428573085
建筑学院,40000484,0,风景园林设计（6）,4,史舒琳,15,12,0,"4-1(后八周),1-4(后八周…",19.519196670326476
建筑学院,40000504,1,建筑设计（7）,4,刘念雄,15,15,0,"1-4(前八周),4-2(前八周…",19.321486415185525
建筑学院,40000504,2,建筑设计（7）,4,,15,15,0,"1-4(前八周),4-2(前八周…",16.451766180208317
建筑学院,40000514,0,城市能源系统,4,谢晓云,35,7,5,"4-2(全周),4-1(全周)",14.421936651499756
建筑学院,40000573,1,城乡规划设计(8),3,刘健,11,0,0,"1-4(9-14周),4-2(9-14周…",36.47001811511338
建筑学院,40000573,2,城乡规划设计(8),3,于涛方,11,1,0,"1-4(9-14周),4-2(9-14周…",19.06489396052805
建筑学院,40000591,0,地理信息系统应用,1,周文生,25,2,0,2-2(后八周),13.614829583955661
建筑学院,40000692,1,设计创新（2）,2,朱宁,15,15,0,"2-4(13-16周),5-2(13-1…",10.758814671709843
建筑学院,40000692,2,设计创新（2）,2,韦诗誉,15,15,0,"2-4(13-16周),5-2(13-1…",18.321467943696128
建筑学院,40000692,3,设计创新（2）,2,秦岭,15,15,0,"2-4(13-16周),5-2(13-1…",14.621118179265538
建筑学院,40000703,1,城乡规划设计（7）,3,刘健,11,0,0,"1-4(3-8周),4-2(3-8周),1…",43.349978242067706
建筑学院,40000703,2,城乡规划设计（7）,3,于涛方,11,1,0,"1-4(3-8周),4-2(3-8周),1…",14.729227938753136
建筑学院,40000714,1,建筑设计（8）,4,单军,15,15,0,"4-1(后八周),1-4(后八周…",10.867202790312296
建筑学院,40000714,2,建筑设计（8）,4,韦诗誉,15,15,0,"4-1(后八周),1-4(后八周…",15.823598510271918
城规系,40010021,0,住区规划与设计概论,1,王英,25,10,0,2-2(前八周),11.070142697475289
建筑系,40020171,0,传统民居与乡土建筑,1,王路,50,32,0,1-3(后八周),15.803896548047222
建筑系,40020400,0,建筑师业务实践,11,宋晔皓,120,53,0,(13-16周),15.338580916323535
