开课院系,课程号,课序号,课程名,学分,主讲教师,本科生课容量,本科生课余量,研究生课容量,研究生课余量,上课时间,课程特色,年级,通识选秀课组
人文学院,690262,90,《老子》与《论语》,2,陈怡,190,60,0,0,"1-6(1-7周),3-6(1-7周)",文化素质核心课; 文化素质课; 通识选修课;,,人文课组
人文学院,690302,90,昆曲艺术欣赏,2,陈为蓬,50,0,10,10,2-6(全周),文化素质核心课; 文化素质课; 通识选修课;,,艺术课组
人文学院,690542,90,儒学概论,2,程钢,32,8,0,0,3-6(全周),文化素质课; 通识选修课;,,人文课组
人文学院,690552,90,西方文学思潮与作品,2,张玲霞,170,119,0,0,3-2(1-11周),文化素质核心课; 文化素质课; 通识选修课;,,人文课组
人文学院,690602,90,创新人才与大学文化,2,蔡文鹏,180,162,0,0,1-4(全周),文化素质核心课; 文化素质课; 通识选修课;,,社科课组
人文学院,690622,90,中国古典诗歌研究与赏析,2,孙明君,180,4,0,0,2-6(全周),文化素质核心课; 文化素质课; 通识选修课; 通识荣誉课;,,人文课组
人文学院,690651,91,文化素质教育讲座（1）,1,蔡文鹏,200,200,0,0,"4-4(全周),4-3(全周)",文化素质课,,
人文学院,690672,90,《庄子》导读,2,陈怡,190,98,0,0,"4-6(1-7周),2-6(1-7周)",文化素质核心课; 文化素质课; 通识选修课;,,人文课组
人文学院,690912,90,清史概要,2,戚学民,50,0,0,0,4-6(全周),文化素质课; 通识选修课;,,人文课组
人文学院,691153,90,不朽的艺术：走进大师与经典,3,肖鹰,60,5,0,0,(全周),文化素质核心课; 文化素质课; 通识选修课;,,人文课组
人文学院,691502,90,中文应用文写作,2,蔡文鹏,30,6,0,0,2-3(全周),文化素质课; 通识选修课;,,人文课组
人文学院,691523,90,西方文艺复兴与早期现代艺术史,3,孙晶,40,1,0,0,2-6(全周),外文教材，中文为主进行授课(双语课); 文化素质核心课; 文化素质课; 通识选修课;,,艺术课组
人文学院,691583,90,佛教哲学概论,3,圣凯,150,34,5,3,4-6(全周),文化素质核心课; 文化素质课; 通识选修课;,,人文课组
人文学院,691652,0,生命科学史,2,陆伊骊,30,29,0,0,"3-4(后八周),1-4(后八周)",外文教材，中文为主进行授课(双语课); 文化素质课; 通识选修课;,,
人文学院,691692,0,现代西方科学哲学,2,王巍,105,10,0,0,4-6(全周),文化素质核心课; 文化素质课; 通识选修课;,20232024,科学课组
人文学院,691762,0,当代科学中的哲学问题,2,王巍,105,34,0,0,3-6(全周),文化素质核心课; 文化素质课; 通识选修课;,20232024,科学课组
